**********************
Windows PowerShell transcript start
Start time: 20260817211956
Username: DESKTOP-KE0DR9U\Duy
RunAs User: DESKTOP-KE0DR9U\Duy
Configuration Name: 
Machine: DESKTOP-KE0DR9U (Microsoft Windows NT 10.0.26200.0)
Host Application: powershell.exe -NoProfile -NoExit -ExecutionPolicy Bypass -File .\work\launch_official_spike_runner_console.ps1
Process ID: 10568
PSVersion: 5.1.26100.9168
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.9168
BuildVersion: 10.0.26100.9168
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
OFFICIAL SPIKE K6_RUN_ID=20260817t134816776
OFFICIAL COMMAND=& "C:\Users\Duy\Desktop\automation-testing-hw04\work\calibration-tools\k6-v2.1.0-windows-amd64\k6.exe" run --no-color -e BASE_URL=http://localhost:3000 -e K6_RUN_ID=20260817t134816776 --summary-export C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\summary.json --out json=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\raw-results.ndjson --out csv=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\spike-metrics.csv C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\23127179_Spike_20260817.js
NATIVE K6 CSV REPORT=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\spike-metrics.csv
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=53.9
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=55.2
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=56.5
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=57.8
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=59.1
SPIKE_PHASE=spike_transition_4_to_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=60.4
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=61.7
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=63.0
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=64.3
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=65.6
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=66.9
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=68.2
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=69.5
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=70.8
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=72.1
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=73.5
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=74.7
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=76.0
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=77.3
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=78.6
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=79.9
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=81.2
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=82.5
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=83.8
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=85.1
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=86.4
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=87.8
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=89.0
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=90.4
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=91.7
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=93.0
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=94.3
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=95.6
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=96.9
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=98.2
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=99.5
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=100.8
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=102.1
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=103.4
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=104.7
SPIKE_PHASE=spike_peak_32 TARGET_VUS=32 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=106.0
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=107.3
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=108.6
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=109.9
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=111.2
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=112.5
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=113.8
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=115.1
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=116.4
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=117.7
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=119.0
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=120.3
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=32 RUN_ID=20260817t134816776 ELAPSED=121.6
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=30 RUN_ID=20260817t134816776 ELAPSED=122.9
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=26 RUN_ID=20260817t134816776 ELAPSED=124.2
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=20 RUN_ID=20260817t134816776 ELAPSED=125.5
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=17 RUN_ID=20260817t134816776 ELAPSED=126.8
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=10 RUN_ID=20260817t134816776 ELAPSED=128.1
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=5 RUN_ID=20260817t134816776 ELAPSED=129.4
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=5 RUN_ID=20260817t134816776 ELAPSED=130.7
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=132.0
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=133.3
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=134.6
SPIKE_PHASE=recovery_settling_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=135.9
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=137.2
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=138.5
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=139.8
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=141.0
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=142.3
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=143.6
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=144.9
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=146.2
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=147.5
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=148.8
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=150.1
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=151.4
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=152.7
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=154.0
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=155.3
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=156.6
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=157.9
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=159.2
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=160.5
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=161.8
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=163.1
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=164.4
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=165.7
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=167.0
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=168.3
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=169.6
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=170.9
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=172.2
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=173.5
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=174.7
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=176.0
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=177.3
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=178.6
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=179.9
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=181.2
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=182.5
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=183.8
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=185.1
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=186.4
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=187.7
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=189.0
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=190.3
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=191.6
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=192.9
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=194.2
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=195.4
SPIKE_PHASE=recovery_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=196.7
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=198.0
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=199.3
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=200.6
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=201.9
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=203.2
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=204.5
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=205.8
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=207.1
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=208.4
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=209.7
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=211.0
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=212.3
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=213.6
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=214.9
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=216.2
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=217.5
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=218.8
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=220.1
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=221.3
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=222.6
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=223.9
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=225.2
SPIKE_PHASE=final_rampdown_4_to_0 TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=226.5
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=227.8
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=229.1
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=230.4
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=3 RUN_ID=20260817t134816776 ELAPSED=231.7
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=2 RUN_ID=20260817t134816776 ELAPSED=233.0
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=2 RUN_ID=20260817t134816776 ELAPSED=234.3
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=1 RUN_ID=20260817t134816776 ELAPSED=235.6
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=1 RUN_ID=20260817t134816776 ELAPSED=236.9
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=1 RUN_ID=20260817t134816776 ELAPSED=238.2
